שם,מחלקה,ימי עבודה,נהיגה,עזרה ראשונה,ראש צוות
דור ביטון,צפון,כל השבוע,,,מומחה
חן פרץ,דרום,ג-ו,מומחה,,
בן פרידמן,מרכז,א-ה,,בינוני,
אביב מזרחי,צפון,ב-ו,,בינוני,בינוני
יוסי פרץ,דרום,ב-ו,מומחה,,
רוני לוי,מרכז,ב-ו,,x,
אלון קליין,צפון,א-ה,מומחה,,מומחה
נטע וקנין,דרום,א-ה,,x,
תמר פרץ,מרכז,א-ה,מומחה,,
עידו שושן,צפון,כל השבוע,מתחיל,בינוני,בינוני
ליה אוחיון,דרום,"א,ב,ג,ד",,x,
מאיה מזרחי,מרכז,"א,ב,ג,ד",מומחה,בינוני,
שני ברק,צפון,"א,ב,ג,ד",מומחה,,מומחה
איתי רוזן,דרום,כל השבוע,,,
גל שושן,מרכז,כל השבוע,,,
זיו גבאי,צפון,ג-ו,מתחיל,בינוני,בינוני
ליה מזרחי,דרום,א-ה,מתחיל,בינוני,
מיכל לוי,מרכז,"א,ב,ג,ד",מומחה,בינוני,
אלון חדד,צפון,ג-ו,,בינוני,מומחה
אסף אברהם,דרום,א-ה,בינוני,,
עידו אזולאי,מרכז,א-ה,,בינוני,
רוני שושן,צפון,א-ה,,בינוני,בינוני
רוני וקנין,דרום,"א,ב,ג,ד",,בינוני,
זיו דהן,מרכז,כל השבוע,מתחיל,בינוני,
ליאור ביטון,צפון,א-ה,,x,מומחה
ליאור שפירא,דרום,א-ה,בינוני,x,
רון אזולאי,מרכז,א-ה,,בינוני,
חן אוחיון,צפון,ג-ו,,,בינוני
ליה וקנין,דרום,כל השבוע,בינוני,בינוני,
רוני פרץ,מרכז,ראשון עד חמישי,בינוני,,
הילה מזרחי,צפון,ב-ו,בינוני,x,מומחה
איתי גבאי,דרום,א-ה,,,
גל וקנין,מרכז,א-ה,מתחיל,,
מיכל פרידמן,צפון,כל השבוע,,,בינוני
אסף אוחיון,דרום,ראשון עד חמישי,,,
ענבל ברק,מרכז,ראשון עד חמישי,בינוני,,
